2241,P,NAD83 / Idaho East (ftUS),44.75;-113.24;41.99;-111.04
2242,P,NAD83 / Idaho Central (ftUS),45.7;-115.3;41.99;-112.67
2243,P,NAD83 / Idaho West (ftUS),49.01;-117.24;41.99;-114.32
2246,P,NAD83 / Kentucky North (ftUS),39.15;-85.96;37.71;-82.47
2247,P,NAD83 / Kentucky South (ftUS),38.17;-89.57;36.49;-81.95
2248,P,NAD83 / Maryland (ftUS),39.73;-79.49;37.97;-74.97
2249,P,NAD83 / Massachusetts Mainland (ftUS),42.89;-73.5;41.46;-69.86
2250,P,NAD83 / Massachusetts Island (ftUS),41.51;-70.91;41.19;-69.89
2251,P,NAD83 / Michigan North (ft),48.32;-90.42;45.08;-83.44
2252,P,NAD83 / Michigan Central (ft),45.92;-87.06;43.8;-82.27
2253,P,NAD83 / Michigan South (ft),44.22;-87.2;41.69;-82.13
2254,P,NAD83 / Mississippi East (ftUS),35.01;-89.97;30.01;-88.09
2255,P,NAD83 / Mississippi West (ftUS),35.01;-91.65;31;-89.37
2256,P,NAD83 / Montana (ft),49.01;-116.07;44.35;-104.04
2257,P,NAD83 / New Mexico East (ftUS),37;-105.72;32;-102.99
2258,P,NAD83 / New Mexico Central (ftUS),37;-107.73;31.78;-104.84
2259,P,NAD83 / New Mexico West (ftUS),37;-109.06;31.33;-106.32
2260,P,NAD83 / New York East (ftUS),45.02;-75.87;40.88;-73.23
2261,P,NAD83 / New York Central (ftUS),44.41;-77.75;41.99;-75.06
2262,P,NAD83 / New York West (ftUS),43.64;-79.77;41.99;-77.36
2263,P,NAD83 / New York Long Island (ftUS),41.3;-74.26;40.47;-71.8
2264,P,NAD83 / North Carolina (ftUS),36.59;-84.33;33.83;-75.38
2265,P,NAD83 / North Dakota North (ft),49.01;-104.07;47.15;-96.83
2266,P,NAD83 / North Dakota South (ft),47.83;-104.05;45.93;-96.55
2267,P,NAD83 / Oklahoma North (ftUS),37.01;-103;35.27;-94.42
2268,P,NAD83 / Oklahoma South (ftUS),35.57;-100;33.62;-94.42
2269,P,NAD83 / Oregon North (ft),46.26;-124.17;43.95;-116.47
2270,P,NAD83 / Oregon South (ft),44.56;-124.6;41.98;-116.9
2271,P,NAD83 / Pennsylvania North (ftUS),42.53;-80.53;40.6;-74.7
2272,P,NAD83 / Pennsylvania South (ftUS),41.18;-80.53;39.71;-74.72
2273,P,NAD83 / South Carolina (ft),35.21;-83.36;32.05;-78.52
2274,P,NAD83 / Tennessee (ftUS),36.68;-90.31;34.98;-81.65
2275,P,NAD83 / Texas North (ftUS),36.5;-103.03;34.3;-99.99
2276,P,NAD83 / Texas North Central (ftUS),34.58;-103.07;31.72;-94
2277,P,NAD83 / Texas Central (ftUS),32.27;-106.66;29.78;-93.5
2278,P,NAD83 / Texas South Central (ftUS),30.67;-105;27.78;-93.76
2279,P,NAD83 / Texas South (ftUS),28.21;-100.2;25.83;-96.85
2280,P,NAD83 / Utah North (ft),42.01;-114.04;40.55;-109.04
2281,P,NAD83 / Utah Central (ft),41.08;-114.05;38.49;-109.04
2282,P,NAD83 / Utah South (ft),38.58;-114.05;36.99;-109.04
2283,P,NAD83 / Virginia North (ftUS),39.46;-80.06;37.77;-76.51
2284,P,NAD83 / Virginia South (ftUS),38.28;-83.68;36.54;-75.31
2285,P,NAD83 / Washington North (ftUS),49.05;-124.79;47.08;-117.02
2286,P,NAD83 / Washington South (ftUS),47.61;-124.4;45.54;-116.91
2287,P,NAD83 / Wisconsin North (ftUS),47.31;-92.89;45.37;-88.05
2288,P,NAD83 / Wisconsin Central (ftUS),45.8;-92.89;43.98;-86.25
2289,P,NAD83 / Wisconsin South (ftUS),44.33;-91.43;42.48;-86.95
2290,P,ATS77 / Prince Edward Isl. Stereographic (ATS77),47.09;-64.49;45.9;-61.9
2294,P,ATS77 / MTM Nova Scotia zone 4,47.08;-63;44.64;-59.73
2295,P,ATS77 / MTM Nova Scotia zone 5,46.02;-66.28;43.41;-63
2296,P,Ammassalik 1958 / Greenland zone 7 east,65.91;-38.86;65.52;-36.81
2299,P,Qornoq 1927 / Greenland zone 2 west,79;-73.29;78;-65.24
2301,P,Qornoq 1927 / Greenland zone 3 west,78;-72.79;75;-56.31
2303,P,Qornoq 1927 / Greenland zone 4 west,75;-58.21;72;-52.02
2304,P,Qornoq 1927 / Greenland zone 5 west,72;-56.06;69;-49.11
2305,P,Qornoq 1927 / Greenland zone 6 west,69;-54.09;66;-49.4
2306,P,Qornoq 1927 / Greenland zone 7 west,66;-53.7;63;-49.17
2307,P,Qornoq 1927 / Greenland zone 8 east,63;-50.72;59.74;-42.52
2308,P,Batavia / TM 109 SE,-4.07;105.77;-6.89;110.01
2309,P,WGS 84 / TM 116 SE,-6.8;112.8;-8.46;117.01
2310,P,WGS 84 / TM 132 SE,-1.97;131.89;-2.94;133.82
2311,P,WGS 84 / TM 6 NE,6.38;2.66;1.92;8.49
2312,P,Garoua / UTM zone 33N,9.87;12.9;8.92;14.19
2313,P,Kousseri / UTM zone 33N,12.77;14.17;11.7;15.09
2314,P,Trinidad 1903 / Trinidad Grid (ftCla),11.51;-62.09;9.83;-60
2315,P,Campo Inchauspe / UTM zone 19S,-51.65;-68.62;-54.61;-66
2316,P,Campo Inchauspe / UTM zone 20S,-51.36;-66;-54.93;-61.49
2317,P,PSAD56 / ICN Regional,12.25;-73.38;0.64;-59.8
2318,P,Ain el Abd / Aramco Lambert,32.16;34.51;16.37;55.67
2319,P,ED50 / TM27,42.11;25.62;36.5;28.5
2320,P,ED50 / TM30,41.46;28.5;36.06;31.5
2321,P,ED50 / TM33,42.07;31.5;35.97;34.5
2322,P,ED50 / TM36,42.15;34.5;35.81;37.5
2323,P,ED50 / TM39,41.19;37.5;36.66;40.5
2324,P,ED50 / TM42,41.6;40.5;37.02;43.5
2325,P,ED50 / TM45,41.02;43.5;36.97;44.83
2326,P,Hong Kong 1980 Grid System,22.58;113.76;22.13;114.51
2327,P,Xian 1980 / Gauss-Kruger zone 13,41.07;73.62;35.42;78.01
2328,P,Xian 1980 / Gauss-Kruger zone 14,47.23;77.98;29.16;84
2329,P,Xian 1980 / Gauss-Kruger zone 15,49.18;84;27.32;90
2330,P,Xian 1980 / Gauss-Kruger zone 16,47.9;90;27.71;96.01
2331,P,Xian 1980 / Gauss-Kruger zone 17,43.18;96;21.13;102.01
2332,P,Xian 1980 / Gauss-Kruger zone 18,42.47;102;21.53;108
2333,P,Xian 1980 / Gauss-Kruger zone 19,45.11;108;18.11;114
2334,P,Xian 1980 / Gauss-Kruger zone 20,51.52;114;22.14;120
2335,P,Xian 1980 / Gauss-Kruger zone 21,53.56;120;26.34;126
2336,P,Xian 1980 / Gauss-Kruger zone 22,52.79;126;40.89;132
2337,P,Xian 1980 / Gauss-Kruger zone 23,48.4;132;45.02;134.77
2338,P,Xian 1980 / Gauss-Kruger CM 75E,41.07;73.62;35.42;78.01
2339,P,Xian 1980 / Gauss-Kruger CM 81E,47.23;77.98;29.16;84
2340,P,Xian 1980 / Gauss-Kruger CM 87E,49.18;84;27.32;90
2341,P,Xian 1980 / Gauss-Kruger CM 93E,47.9;90;27.71;96.01
2342,P,Xian 1980 / Gauss-Kruger CM 99E,43.18;96;21.13;102.01
2343,P,Xian 1980 / Gauss-Kruger CM 105E,42.47;102;21.53;108
2344,P,Xian 1980 / Gauss-Kruger CM 111E,45.11;108;18.11;114
2345,P,Xian 1980 / Gauss-Kruger CM 117E,51.52;114;22.14;120
2346,P,Xian 1980 / Gauss-Kruger CM 123E,53.56;120;26.34;126
2347,P,Xian 1980 / Gauss-Kruger CM 129E,52.79;126;40.89;132
2348,P,Xian 1980 / Gauss-Kruger CM 135E,48.4;132;45.02;134.77
2349,P,Xian 1980 / 3-degree Gauss-Kruger zone 25,40.65;73.62;35.81;76.5
2350,P,Xian 1980 / 3-degree Gauss-Kruger zone 26,41.83;76.5;31.03;79.5
2351,P,Xian 1980 / 3-degree Gauss-Kruger zone 27,45.88;79.5;29.95;82.51
2352,P,Xian 1980 / 3-degree Gauss-Kruger zone 28,47.23;82.5;28.26;85.5
2353,P,Xian 1980 / 3-degree Gauss-Kruger zone 29,49.18;85.5;27.8;88.5
2354,P,Xian 1980 / 3-degree Gauss-Kruger zone 30,48.42;88.49;27.32;91.51
2355,P,Xian 1980 / 3-degree Gauss-Kruger zone 31,45.13;91.5;27.71;94.5
2356,P,Xian 1980 / 3-degree Gauss-Kruger zone 32,44.5;94.5;28.23;97.51
2357,P,Xian 1980 / 3-degree Gauss-Kruger zone 33,42.76;97.5;21.43;100.5
2358,P,Xian 1980 / 3-degree Gauss-Kruger zone 34,42.69;100.5;21.13;103.5
2359,P,Xian 1980 / 3-degree Gauss-Kruger zone 35,42.21;103.5;22.5;106.51
2360,P,Xian 1980 / 3-degree Gauss-Kruger zone 36,42.47;106.5;18.19;109.51
2361,P,Xian 1980 / 3-degree Gauss-Kruger zone 37,45.11;109.5;18.11;112.5
2362,P,Xian 1980 / 3-degree Gauss-Kruger zone 38,45.45;112.5;21.52;115.5
2363,P,Xian 1980 / 3-degree Gauss-Kruger zone 39,49.88;115.5;22.6;118.5
2364,P,Xian 1980 / 3-degree Gauss-Kruger zone 40,53.33;118.5;24.43;121.5
2365,P,Xian 1980 / 3-degree Gauss-Kruger zone 41,53.56;121.5;28.22;124.5
2366,P,Xian 1980 / 3-degree Gauss-Kruger zone 42,53.2;124.5;40.19;127.5
2367,P,Xian 1980 / 3-degree Gauss-Kruger zone 43,50.25;127.5;41.37;130.5
2368,P,Xian 1980 / 3-degree Gauss-Kruger zone 44,48.88;130.5;42.42;133.5
2369,P,Xian 1980 / 3-degree Gauss-Kruger zone 45,48.4;133.5;45.85;134.77
